from,p_from,to,p_to,expected,obs,o_minus_e,perm_lo,perm_hi,outside_null
Northern America,0.17563070732084818,South-Eastern Asia,0.001238198421297013,5.620182634267142,7,1.3798173657328583,-2.6201826342671417,5.379817365732858,FALSE
South America,0.013658876334932672,Western Asia,0.0038306763658876334,1.3522287571583347,0,-1.3522287571583347,-1.3522287571583347,1.6477712428416653,FALSE
Southern Europe,0.06546974152607955,Northern Africa,0.0021668472372697724,3.6663055254604546,5,1.3336944745395454,-2.6663055254604546,4.333694474539545,FALSE
Sub-Saharan Africa,0.002553784243925089,South America,0.01984986844141774,1.3100913171335709,0,-1.3100913171335709,-1.3100913171335709,5.689908682866429,FALSE
Australia and New Zealand,0.006461848011143786,Southern Asia,0.007622659031109735,1.2729840581953258,0,-1.2729840581953258,-1.2729840581953258,3.727015941804674,FALSE
Southern Asia,0.008086983439096114,Eastern Asia,0.010021668472372697,2.0945287107258936,1,-1.0945287107258936,-2.0945287107258936,2.9054712892741064,FALSE
Northern Africa,0.003637207862559975,Eastern Asia,0.010021668472372697,0.9420368364030336,0,-0.9420368364030336,-0.9420368364030336,2.057963163596966,FALSE
Eastern Europe,0.06059433524222257,South-Eastern Asia,0.001238198421297013,1.9390187277511222,1,-0.9390187277511222,-1.9390187277511222,3.0609812722488776,FALSE
Central America,0.002012072434607646,South-Eastern Asia,0.001238198421297013,0.06438631790744469,1,0.9356136820925554,-0.06438631790744469,0.9356136820925554,FALSE
Caribbean,0.0023603157405974306,Central America,0.001779910230614456,0.1085745240674818,1,0.8914254759325182,-0.1085745240674818,2.891425475932518,FALSE
Northern Africa,0.003637207862559975,South America,0.01984986844141774,1.8658876334932675,1,-0.8658876334932675,-1.8658876334932675,3.1341123665067325,FALSE
Sub-Saharan Africa,0.002553784243925089,Northern Africa,0.0021668472372697724,0.14301191765980498,1,0.856988082340195,-0.14301191765980498,0.856988082340195,FALSE
Eastern Asia,0.013465407831605014,Caribbean,0.002437703141928494,0.8483206933911159,0,-0.8483206933911159,-0.8483206933911159,1.1516793066088842,FALSE
South America,0.013658876334932672,Sub-Saharan Africa,0.002321622039931899,0.8195325800959604,0,-0.8195325800959604,-0.8195325800959604,3.1804674199040397,FALSE
Western Asia,0.007932208636433988,Australia and New Zealand,0.00398545116854976,0.8170174895527008,0,-0.8170174895527008,-0.8170174895527008,3.182982510447299,FALSE
Eastern Asia,0.013465407831605014,Sub-Saharan Africa,0.002321622039931899,0.8079244698963008,0,-0.8079244698963008,-0.8079244698963008,2.192075530103699,FALSE
Northern Europe,0.24651756694010216,Northern Africa,0.0021668472372697724,13.80498374864572,13,-0.8049837486457196,-6.80498374864572,3.1950162513542804,FALSE
Southern Asia,0.008086983439096114,Western Asia,0.0038306763658876334,0.8006113604705153,0,-0.8006113604705153,-0.8006113604705153,3.199388639529485,FALSE
Eastern Asia,0.013465407831605014,Northern Africa,0.0021668472372697724,0.7540628385698808,0,-0.7540628385698808,-0.7540628385698808,2.245937161430119,FALSE
Sub-Saharan Africa,0.002553784243925089,Australia and New Zealand,0.00398545116854976,0.26303977712428417,1,0.7369602228757158,-0.26303977712428417,2.736960222875716,FALSE
Northern Africa,0.003637207862559975,Southern Asia,0.007622659031109735,0.7165299489243151,0,-0.7165299489243151,-0.7165299489243151,1.283470051075685,FALSE
South-Eastern Asia,0.001315585822628076,South America,0.01984986844141774,0.6748955270082031,0,-0.6748955270082031,-0.6748955270082031,4.3251044729917965,FALSE
Sub-Saharan Africa,0.002553784243925089,Eastern Asia,0.010021668472372697,0.661430119176598,0,-0.661430119176598,-0.661430119176598,2.338569880823402,FALSE
South-Eastern Asia,0.001315585822628076,Eastern Asia,0.010021668472372697,0.34073672806067173,1,0.6592632719393283,-0.34073672806067173,0.6592632719393283,FALSE
Northern Africa,0.003637207862559975,Western Asia,0.0038306763658876334,0.3600835783934375,1,0.6399164216065625,-0.3600835783934375,1.6399164216065625,FALSE
Australia and New Zealand,0.006461848011143786,Western Asia,0.0038306763658876334,0.6397229531032348,0,-0.6397229531032348,-0.6397229531032348,2.385277046896629,FALSE
Eastern Asia,0.013465407831605014,Central America,0.001779910230614456,0.6194087602538306,0,-0.6194087602538306,-0.6194087602538306,2.3805912397461695,FALSE
Australia and New Zealand,0.006461848011143786,Sub-Saharan Africa,0.002321622039931899,0.38771088066862713,1,0.6122891193313729,-0.38771088066862713,2.612289119331373,FALSE
Caribbean,0.0023603157405974306,Eastern Asia,0.010021668472372697,0.6113217768147344,0,-0.6113217768147344,-0.6113217768147344,0.38867822318526557,FALSE
Western Europe,0.39030335861321774,Central Asia,3.8693700665531654e-5,0.3903033586132178,1,0.6096966413867821,-0.3903033586132178,0.6096966413867821,FALSE
Western Asia,0.007932208636433988,Southern Asia,0.007622659031109735,1.5626451013774956,1,-0.5626451013774956,-1.5626451013774956,4.462354898622368,FALSE
Southern Asia,0.008086983439096114,Caribbean,0.002437703141928494,0.5094799566630551,0,-0.5094799566630551,-0.5094799566630551,1.4905200433369448,FALSE
Sub-Saharan Africa,0.002553784243925089,Southern Asia,0.007622659031109735,0.5030954960532426,0,-0.5030954960532426,-0.5030954960532426,3.4969045039467574,FALSE
Western Asia,0.007932208636433988,Caribbean,0.002437703141928494,0.49972914409534125,0,-0.49972914409534125,-0.49972914409534125,1.5002708559046587,FALSE
Southern Asia,0.008086983439096114,Sub-Saharan Africa,0.002321622039931899,0.48521900634576687,0,-0.48521900634576687,-0.48521900634576687,3.514780993654233,FALSE
Central America,0.002012072434607646,Eastern Asia,0.010021668472372697,0.5211267605633804,1,0.47887323943661964,-0.5211267605633804,1.4788732394366195,FALSE
Western Asia,0.007932208636433988,Sub-Saharan Africa,0.002321622039931899,0.4759325181860393,0,-0.4759325181860393,-0.4759325181860393,3.524067481813961,FALSE
Caribbean,0.0023603157405974306,Southern Asia,0.007622659031109735,0.46498220089769376,0,-0.46498220089769376,-0.46498220089769376,2.5350177991023064,FALSE
Southern Asia,0.008086983439096114,Northern Africa,0.0021668472372697724,0.45287107258938236,0,-0.45287107258938236,-0.45287107258938236,1.5471289274106177,FALSE
South America,0.013658876334932672,South-Eastern Asia,0.001238198421297013,0.43708404271784557,0,-0.43708404271784557,-0.43708404271784557,1.5629159572821545,FALSE
Eastern Asia,0.013465407831605014,South-Eastern Asia,0.001238198421297013,0.4308930506113605,0,-0.4308930506113605,-0.4308930506113605,1.5691069493886394,FALSE
Australia and New Zealand,0.006461848011143786,Caribbean,0.002437703141928494,0.4070964247020585,0,-0.4070964247020585,-0.4070964247020585,0.5929035752979415,FALSE
Central America,0.002012072434607646,Southern Asia,0.007622659031109735,0.3963782696177063,0,-0.3963782696177063,-0.3963782696177063,3.6036217303822937,FALSE
Northern Africa,0.003637207862559975,Australia and New Zealand,0.00398545116854976,0.37463240984367746,0,-0.37463240984367746,-0.37463240984367746,1.6253675901563225,FALSE
Southern Asia,0.008086983439096114,Central America,0.001779910230614456,0.37200123819842124,0,-0.37200123819842124,-0.37200123819842124,2.627998761801579,FALSE
South America,0.013658876334932672,Central America,0.001779910230614456,0.6283083114069029,1,0.3716916885930971,-0.6283083114069029,4.371691688593097,FALSE
Western Asia,0.007932208636433988,Central America,0.001779910230614456,0.3648815972759635,0,-0.3648815972759635,-0.3648815972759635,1.6351184027240366,FALSE
Australia and New Zealand,0.006461848011143786,Northern Africa,0.0021668472372697724,0.361863488624052,0,-0.361863488624052,-0.361863488624052,0.6381365113759481,FALSE
Caribbean,0.0023603157405974306,Southern Europe,0.05985915492957746,3.6514084507042246,4,0.3485915492957754,0.3485915492957754,8.348591549295776,FALSE
Eastern Asia,0.013465407831605014,Western Asia,0.0038306763658876334,1.3330753753288964,1,-0.3330753753288964,-0.3330753753288964,6.666924624671104,FALSE
Australia and New Zealand,0.006461848011143786,Central America,0.001779910230614456,0.29724500851261415,0,-0.29724500851261415,-0.29724500851261415,1.7027549914873858,FALSE
