person_id,name,gender,birth_year,death_year,qid,match_method,multi_match_count
14633,Frank Harold Spedding,M,1902,1984,Q5489712,wikidata_name_birthyear,1
14637,A Tourky,NA,NA,NA,NA,no_data,0
14648,George Wald,M,1906,1997,Q295724,wikidata_name_birthyear,1
14651,Esmond Emerson Snell,M,1914,2003,Q27708663,wikidata_name_birthyear,1
14656,E Taylor,NA,NA,NA,NA,no_data,0
14657,S Datz,M,1927,2001,NA,unmatched,0
14658,M Allen,NA,NA,NA,NA,no_data,0
14659,F Whatley,NA,NA,NA,NA,no_data,0
14660,Stephen Brunauer,M,1903,1986,Q2344572,wikidata_name_birthyear,1
14661,Paul Hugh Emmett,M,1900,1985,Q436507,wikidata_name_birthyear,1
14663,Geoffrey Wilkinson,M,1921,1996,Q274128,wikidata_name_birthyear,1
10980,Kenneth Sanborn Pitzer,M,1914,1997,Q608387,wikidata_name_birthyear,1
14655,Erika Cremer,F,1900,1996,Q106671,wikidata_name_birthyear,1
14671,K Denbigh,NA,NA,NA,NA,no_data,0
14678,Arie Jan Haagen-Smit,M,1900,1977,Q358296,wikidata_name_birthyear,1
4212,Joseph Oakland Hirschfelder,M,1911,1990,Q1671177,wikidata_name_birthyear,1
14685,Eugene Patrick Kennedy,M,1919,2011,Q1373133,wikidata_name_birthyear,1
14688,B Kozyrev,NA,NA,NA,NA,no_data,0
14691,A.O.C Nier,NA,NA,NA,NA,no_data,0
10917,Henri Normant,M,1907,1997,Q112311341,wikidata_name_birthyear,1
14695,E Ochiai,NA,NA,NA,NA,no_data,0
14707,Eugene George Rochow,M,1909,2002,Q907045,wikidata_name_birthyear,1
13343,Einar Stenhagen,M,1911,1973,Q6189083,wikidata_name_birthyear,1
14711,Hans Tuppy,M,1924,NA,Q94483,wikidata_name_birthyear,1
